modeldate,approve_estimate
12/20/20,43.49953
12/21/20,43.095636
12/22/20,43.013804
12/23/20,42.629712
12/24/20,42.662073
12/25/20,42.662073
12/26/20,42.662073
12/27/20,42.662073
12/28/20,42.662073
12/29/20,42.652098
12/30/20,42.698461
12/31/20,42.569996
1/1/21,42.569996
1/2/21,42.569996
1/3/21,42.569996
1/4/21,42.569996
1/5/21,42.571273
1/6/21,42.759495
1/7/21,42.378777
1/8/21,41.858315
1/9/21,41.858315
1/10/21,41.858315
1/11/21,40.746526
1/12/21,40.545568
1/13/21,40.01021
1/14/21,39.440439
1/15/21,38.044537
1/16/21,38.044537
1/17/21,38.724709
1/18/21,38.262011
1/19/21,39.158235
1/20/21,48
1/21/21,48
1/22/21,48
1/23/21,48
1/24/21,48
1/25/21,49
1/26/21,50
1/27/21,49
1/28/21,51
1/29/21,51
1/30/21,51
1/31/21,51
2/1/21,52
2/2/21,49
2/3/21,50
2/4/21,51
2/5/21,51
2/6/21,51
2/7/21,51
2/8/21,50
2/9/21,52
2/10/21,53
2/11/21,53
2/12/21,51.5
2/13/21,51.5
2/14/21,50
2/15/21,50
2/16/21,49
2/17/21,50
2/18/21,50
2/19/21,49.5
2/20/21,49.5
2/21/21,49
2/22/21,50
2/23/21,49
2/24/21,49
2/25/21,50
2/26/21,50
2/27/21,50
2/28/21,50
3/1/21,49
3/2/21,49
3/3/21,49
