Death Daily Trends - United States,,
Date generated: Wed Mar 24 2021 14:54:00 GMT-0400 (Eastern Daylight Time),,
,,
Date,New Deaths,7-Day Moving Avg
Mar 23 2021,778,1016
Mar 22 2021,971,1048
Mar 21 2021,442,1011
Mar 20 2021,768,1032
Mar 19 2021,1505,1072
Mar 18 2021,1521,1055
Mar 17 2021,1129,1058
Mar 16 2021,1004,1116
Mar 15 2021,712,1189
Mar 14 2021,588,1211
Mar 13 2021,1046,1250
Mar 12 2021,1391,1340
Mar 11 2021,1542,1455
Mar 10 2021,1530,1497
Mar 9 2021,1520,1558
Mar 8 2021,861,1645
Mar 7 2021,865,1705
Mar 6 2021,1673,1730
Mar 5 2021,2198,1751
Mar 4 2021,1835,1738
Mar 3 2021,1960,1935
Mar 2 2021,2124,2002
Mar 1 2021,1282,2007
Feb 28 2021,1038,2050
Feb 27 2021,1823,2081
Feb 26 2021,2105,2120
Feb 25 2021,3214,2180
Feb 24 2021,2434,2062
Feb 23 2021,2153,2082
Feb 22 2021,1588,1976
Feb 21 2021,1254,1921
Feb 20 2021,2098,1923
Feb 19 2021,2522,2100
Feb 18 2021,2391,2526
Feb 17 2021,2569,2689
Feb 16 2021,1414,2841
Feb 15 2021,1205,3046
Feb 14 2021,1267,3107
Feb 13 2021,3334,3135
Feb 12 2021,5503,3060
Feb 11 2021,3531,2780
Feb 10 2021,3638,3011
Feb 9 2021,2849,3024
Feb 8 2021,1630,3111
Feb 7 2021,1464,3122
Feb 6 2021,2809,3193
Feb 5 2021,3540,3202
Feb 4 2021,5147,3204
Feb 3 2021,3732,3015
Feb 2 2021,3461,3064
Feb 1 2021,1704,3103
Jan 31 2021,1959,3139
Jan 30 2021,2872,3135
Jan 29 2021,3559,3213
Jan 28 2021,3819,3265
Jan 27 2021,4074,3298
Jan 26 2021,3737,3344
Jan 25 2021,1958,3143
Jan 24 2021,1930,3101
Jan 23 2021,3416,3095
Jan 22 2021,3923,3116
Jan 21 2021,4051,3078
Jan 20 2021,4396,3063
Jan 19 2021,2330,3024
Jan 18 2021,1666,3282
Jan 17 2021,1885,3333
Jan 16 2021,3564,3363
Jan 15 2021,3654,3346
Jan 14 2021,3948,3345
Jan 13 2021,4126,3379
Jan 12 2021,4135,3334
Jan 11 2021,2023,3254
Jan 10 2021,2092,3229
Jan 9 2021,3445,3128
Jan 8 2021,3652,2963
Jan 7 2021,4180,2794
Jan 6 2021,3812,2670
Jan 5 2021,3580,2663
Jan 4 2021,1844,2642
Jan 3 2021,1388,2632
Jan 2 2021,2285,2633
Jan 1 2021,2475,2489
Dec 31 2020,3308,2366
Dec 30 2020,3767,2299
Dec 29 2020,3427,2256
Dec 28 2020,1777,2221
Dec 27 2020,1398,2217
Dec 26 2020,1277,2243
Dec 25 2020,1613,2438
Dec 24 2020,2837,2602
Dec 23 2020,3468,2688
Dec 22 2020,3183,2684
Dec 21 2020,1749,2657
Dec 20 2020,1580,2661
Dec 19 2020,2642,2640
Dec 18 2020,2760,2590
Dec 17 2020,3436,2624
Dec 16 2020,3444,2530
Dec 15 2020,2990,2524
Dec 14 2020,1781,2467
Dec 13 2020,1427,2433
Dec 12 2020,2297,2386
Dec 11 2020,2993,2389
Dec 10 2020,2784,2309
Dec 9 2020,3401,2322
Dec 8 2020,2590,2229
Dec 7 2020,1539,2210
Dec 6 2020,1103,2168
